Pitcher,PitcherThrows,PitcherId,AutoPitchType,mean_velo,mean_vmov,mean_hmov,mean_spin,mean_vaa,mean_ext
"Merriweather, Dj",Left,10167373,Slider,77.09885294871795,7.72505,7.336487435897436,2286.906876679487,-8.047254333333333,6.238859871794872
"MacRae, Coleman",Right,10271827,Curveball,81.02359,-0.28732,12.46056,2291.636916,-8.342287,6.15415
"MacRae, Coleman",Right,10271827,Four-Seam,89.85443,15.003654000000001,7.935542666666667,2306.090687133333,-4.918729466666667,6.547559333333333
"MacRae, Coleman",Right,10271827,Slider,81.31487413793104,3.8316062068965517,8.957753448275863,2351.6109083793103,-7.302869827586207,6.060756206896552
"MacRae, Coleman",Right,10271827,Splitter,82.59293,5.70415,3.79861,986.3052916666667,-6.673962333333333,6.647456666666667
"Walton, Ryker",Right,10288839,Changeup,81.49891342105263,8.969907236842106,14.273499078947369,1783.0989788421052,-6.8441407105263155,6.355896578947369
"Walton, Ryker",Right,10288839,Curveball,72.57342511627907,-13.605705581395348,18.173993779069768,2854.341458965116,-10.257463622093024,5.379591337209303
"Walton, Ryker",Right,10288839,Cutter,85.107545,16.525185,4.496320000000001,2200.0255385,-5.231635000000001,6.2490000000000006
"Walton, Ryker",Right,10288839,Four-Seam,88.5191810687023,19.645960839694656,9.991501933842239,2315.5579589362246,-5.137132926208651,5.990321679389313
"Walton, Ryker",Right,10288839,Sinker,89.11741576923077,16.152887307692307,15.828221923076923,2338.164443076923,-5.196864461538461,5.889033846153846
"Walton, Ryker",Right,10288839,Slider,80.44982809917356,2.598900826446281,5.226669504132231,2467.0217930330577,-7.714610570247934,5.539551900826447
"Brown, Rese",Right,1000013141,Changeup,84.00996085106382,3.1848963829787236,7.334793723404255,1826.1898208602151,-7.939222840425532,5.484316382978723
"Brown, Rese",Right,1000013141,Curveball,79.85315782178218,-7.52390900990099,14.93858207920792,2603.44056364,-9.570237435643564,5.133875346534653
"Brown, Rese",Right,1000013141,Cutter,89.00015510204082,12.34897693877551,1.9394069387755102,2320.3637432653063,-5.639824653061225,5.614605714285714
"Brown, Rese",Right,1000013141,Four-Seam,89.21218747524753,15.482243663366337,6.480901683168317,2316.714830509901,-5.720404410891089,5.582500247524752
"Brown, Rese",Right,1000013141,Sinker,88.91153965517242,13.249661379310345,13.696205172413793,2255.1869406896553,-6.267932413793104,5.573899310344828
"Brown, Rese",Right,1000013141,Slider,83.0697323255814,1.934069534883721,5.56698023255814,2084.98871903876,-8.148444720930232,5.377449069767442
"Bennett, Isaiah",Right,1000013186,Curveball,79.59445776119404,-9.203723134328358,8.472200895522388,2213.3707119701494,-8.761491910447761,5.322145970149254
"Bennett, Isaiah",Right,1000013186,Cutter,86.61932727272728,11.069823636363637,1.8609609090909092,2094.5912542727274,-6.3134630909090905,5.6472145454545455
"Bennett, Isaiah",Right,1000013186,Four-Seam,91.20994352941176,15.64280294117647,5.774582352941176,2195.374122,-5.397157647058823,6.266581176470588
"Bennett, Isaiah",Right,1000013186,Sinker,91.265145,12.007191666666667,12.964266666666667,2135.7847578333335,-6.470555,6.2736149999999995
"Bennett, Isaiah",Right,1000013186,Slider,85.83410621052631,5.991107894736842,3.7004412631578947,2077.9351581789474,-6.994208242105263,5.708593684210526
"Battle, Justin",Right,1000016070,Changeup,81.70988166666666,13.499876666666667,14.585573333333333,2114.6600153333334,-6.1228723333333335,5.569751666666667
"Battle, Justin",Right,1000016070,Curveball,75.39842684210527,-2.464085263157895,1.3748952631578948,2132.755573736842,-8.032816368421052,5.0562347368421054
"Battle, Justin",Right,1000016070,Four-Seam,85.59252038461538,20.42883596153846,8.799889807692308,2136.0591932884618,-4.903675711538462,5.360004038461539
"Battle, Justin",Right,1000016070,Slider,76.82787571428571,0.4855928571428571,1.728117142857143,2171.0553677142857,-8.083954285714286,5.201541428571429
"Fisher, Bryce",Left,1000023389,Changeup,82.29664462962963,15.299703333333333,12.665611111111112,2044.2511810185185,-5.938094814814815,5.924686851851852
"Fisher, Bryce",Left,1000023389,Curveball,75.79504375,4.2252496875,2.9331496875,1891.822985125,-8.1858569375,5.941430625
"Fisher, Bryce",Left,1000023389,Four-Seam,84.768394,17.802361,9.120128,2091.8161855,-5.0104918,5.891481
"Fisher, Bryce",Left,1000023389,Sinker,85.60999000000001,16.715205,14.007456666666666,2120.8593495,-5.010730333333333,5.798638333333333
"Fisher, Bryce",Left,1000023389,Slider,77.84443,4.573665,3.521655,2011.1707085,-8.116959,6.1579999999999995
"Fisher, Bryce",Left,1000023389,Splitter,84.049105,17.6392325,14.4990725,2148.89373975,-6.21960425,5.991305
"Schmitt, Logan",Right,1000024952,Changeup,86.76457894736842,10.264770263157894,15.157656842105263,1834.4129755921053,-5.93118577631579,6.321284736842105
"Schmitt, Logan",Right,1000024952,Curveball,74.83643217391304,-0.8986330434782609,16.709172173913043,2258.320227043478,-8.638875260869565,5.562559130434782
"Schmitt, Logan",Right,1000024952,Four-Seam,88.30193846153846,17.272966923076922,10.231860769230769,2084.4415216153848,-4.5558749999999995,6.363117692307692
"Schmitt, Logan",Right,1000024952,Sinker,88.1471610619469,11.543283008849558,16.396386814159293,2045.1696373982302,-5.661616433628319,6.365495044247788
"Schmitt, Logan",Right,1000024952,Slider,77.33770831858408,3.7665330088495574,16.788724690265486,2359.453385823009,-7.5653274424778765,5.655114513274336
"O'Hara, Connor",Right,1000036031,Changeup,87.33139,5.6786650000000005,19.984775,1979.4671535,-8.07115,5.502725
"O'Hara, Connor",Right,1000036031,Four-Seam,93.04007696969697,15.062558484848484,10.193971212121212,2308.122369,-4.626672272727273,5.590278787878788
"O'Hara, Connor",Right,1000036031,Sinker,92.54213,11.853053000000001,15.713986,2256.4761274,-6.0924571,5.462489
"O'Hara, Connor",Right,1000036031,Slider,84.8251975,0.6869327272727273,2.4757075,2316.9806468863635,-7.503449522727273,4.943155454545455
"Holt, Campbell",Left,1000050029,Changeup,83.5064508490566,4.429027547169811,18.668827735849057,2039.5808557714286,-6.693126556603773,4.784913301886792
"Holt, Campbell",Left,1000050029,Curveball,76.35738910447762,-10.202659402985075,12.953065223880596,2309.4550659402985,-8.45767026119403,4.707701940298508
"Holt, Campbell",Left,1000050029,Cutter,87.68306166666667,6.75167,5.297793333333333,2047.1326246666667,-4.3244196666666666,5.046588333333333
"Holt, Campbell",Left,1000050029,Four-Seam,88.12711625,10.1294225,7.227115,2049.810107875,-3.967552125,4.9797762500000005
